                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 0.1351,                0.64734,                0.92483,                0.54092,                0.74671,                0.62996,                0.60888,                0.35531,                 1.4245,                0.52448,              0.0006395,              0.0006395,              0.0006395
                     77,                0.12632,                  0.586,                0.92044,                0.56843,                0.70636,                0.64509,                0.63833,                0.24936,                 1.4677,                0.37098,             0.00063125,             0.00063125,             0.00063125
                     78,                0.12545,                0.57453,                0.91546,                0.59444,                0.61572,                 0.6139,                0.58212,                0.29704,                 1.5396,                0.44397,               0.000623,               0.000623,               0.000623
                     79,                0.12054,                0.56875,                0.91604,                0.49758,                0.68542,                0.64554,                0.62259,                0.27987,                 1.3689,                0.41455,             0.00061475,             0.00061475,             0.00061475
                     80,                  0.115,                0.58312,                 0.9182,                0.64414,                0.74444,                0.65686,                 0.6395,                0.29509,                 1.5026,                0.43501,              0.0006065,              0.0006065,              0.0006065
                     81,                0.11487,                0.57971,                0.91087,                0.49896,                0.70493,                0.61659,                0.60866,                0.23245,                 1.3566,                0.35042,             0.00059825,             0.00059825,             0.00059825
                     82,                0.11537,                0.54904,                0.91228,                0.57519,                0.70859,                0.68999,                0.67433,                0.24038,                 1.2817,                0.37197,                0.00059,                0.00059,                0.00059
                     83,                0.11446,                0.58527,                0.90483,                0.55209,                0.83359,                0.71374,                0.69374,                0.26165,                 1.2355,                 0.4161,             0.00058175,             0.00058175,             0.00058175
                     84,                0.11923,                0.59733,                0.91805,                0.49846,                0.72677,                 0.6538,                0.63399,                0.23967,                 1.4282,                0.35389,              0.0005735,              0.0005735,              0.0005735
                     85,                0.11018,                0.56545,                0.90755,                0.63511,                0.65372,                0.67351,                 0.6637,                0.29325,                 1.2806,                0.45122,             0.00056525,             0.00056525,             0.00056525
                     86,                0.10751,                0.54616,                0.91656,                0.50354,                0.81108,                0.68085,                0.66658,                0.29577,                 1.3842,                0.44986,               0.000557,               0.000557,               0.000557
                     87,                0.11341,                0.58962,                0.92373,                0.62081,                0.69707,                0.67808,                 0.6493,                0.29366,                  1.314,                0.46833,             0.00054875,             0.00054875,             0.00054875
                     88,                0.11223,                0.56992,                0.90195,                0.56428,                0.82799,                0.64343,                 0.6206,                0.27246,                 1.4824,                0.41624,              0.0005405,              0.0005405,              0.0005405
                     89,                0.11607,                0.55763,                0.91341,                0.57731,                0.66419,                0.68885,                0.66507,                0.26662,                 1.3119,                0.38965,             0.00053225,             0.00053225,             0.00053225
                     90,                0.11337,                0.54401,                0.91417,                0.64615,                0.62926,                0.66918,                0.63749,                0.33153,                 1.3402,                0.50049,               0.000524,               0.000524,               0.000524
                     91,                0.11217,                0.55823,                0.90859,                0.72216,                0.55631,                0.65863,                0.61974,                0.34386,                  1.432,                0.52978,             0.00051575,             0.00051575,             0.00051575
                     92,                 0.1127,                0.55755,                0.91423,                0.60725,                0.60008,                0.62466,                0.59566,                0.28915,                  1.431,                0.45144,              0.0005075,              0.0005075,              0.0005075
                     93,                0.10579,                0.51935,                0.91267,                0.59137,                0.70404,                0.65587,                0.61322,                0.29218,                 1.3793,                0.44256,             0.00049925,             0.00049925,             0.00049925
                     94,                0.10911,                0.53063,                0.90994,                0.56882,                0.78916,                0.70094,                0.65922,                0.32875,                 1.3945,                0.49808,               0.000491,               0.000491,               0.000491
                     95,                0.10949,                0.53536,                0.90794,                0.59704,                0.66997,                0.66855,                0.63223,                0.35743,                 1.3611,                0.53858,             0.00048275,             0.00048275,             0.00048275
                     96,                 0.1042,                0.52189,                0.90419,                0.53858,                0.67589,                0.63966,                0.61715,                0.31032,                 1.5511,                0.44633,              0.0004745,              0.0004745,              0.0004745
                     97,                0.10791,                0.52414,                0.91142,                0.62142,                 0.6014,                0.67999,                0.63368,                0.29094,                 1.3217,                0.43292,             0.00046625,             0.00046625,             0.00046625
                     98,                0.10965,                0.52835,                0.91474,                0.51074,                0.67552,                0.57955,                0.55401,                0.28187,                 1.5965,                0.42393,               0.000458,               0.000458,               0.000458
                     99,                0.10756,                0.50133,                0.90861,                  0.593,                0.64899,                 0.6084,                0.57307,                0.26422,                 1.5461,                0.38769,             0.00044975,             0.00044975,             0.00044975
                    100,                0.11049,                 0.5113,                0.93003,                0.50709,                0.65303,                0.56149,                 0.5256,                0.30098,                 1.5931,                0.43963,              0.0004415,              0.0004415,              0.0004415
